CTRY,YEAR,INF,INF(-1),INF(-2),CBI(-1),G(-1),U(-1),T(-1)  I,NFA(-1),F(-1),CWB
1,1972,4.4,5.3,5.3,0.750044,6.545716,0.2714,0.083781,7.483333,0.069,0
1,1973,5.5,4.4,5.3,0.750044,6.545716,0.2688,0.089566,7.855556,0.071,0
1,1974,9,5.5,4.4,0.750044,6.552904,0.2694,0.106754,9.777778,0.073,0
1,1975,9.2,9,5.5,0.750044,6.552904,0.2651,0.144247,12.48889,0.074,0
1,1976,5.9,9.2,9,0.750044,6.403716,0.2598,0.135497,13.49444,0.075,0
1,1977,5.7,5.9,9.2,0.750044,6.403716,0.252,0.141074,10.73333,0.075,0
1,1978,7.4,5.7,5.9,0.750044,5.480713,0.2391,0.143657,9.716667,0.077,0
1,1979,8.5,7.4,5.7,0.750044,5.480713,0.2329,0.148651,8.577778,0.08,0
1,1980,9.6,8.5,7.4,0.750044,5.540654,0.2299,0.164178,9.138889,0.082,0
1,1981,8.9,9.6,8.5,0.750044,5.540654,0.2149,0.178188,10.24444,0.084,0
1,1982,6.9,8.9,9.6,0.750044,6.65297,0.208,0.168966,10.15,0.086,0
1,1983,3.3,6.9,8.9,0.750044,6.65297,0.1945,0.149646,9.472222,0.091,0
1,1984,3.7,3.3,6.9,0.750044,6.607564,0.1831,0.139648,6.472222,0.097,0
1,1985,3.2,3.7,3.3,0.750044,6.607564,0.1673,0.150995,5.772222,0.099,0
1,1986,2.7,3.2,3.7,0.750044,6.632459,0.1608,0.141451,5.455556,0.103,0
1,1987,3.3,2.7,3.2,0.750044,6.632459,0.1571,0.142776,5.255556,0.107,0
1,1988,3.4,3.3,2.7,0.750044,6.556705,0.154,0.149467,4.4,0.111,0
1,1989,5,3.4,3.3,0.750044,6.556705,0.1527,0.159572,4.144444,0.113,0
1,1990,4.2,5,3.4,0.750044,6.52027,0.1495,0.163163,4.216667,0.113,0
2,1972,5.2,5.2,7.3,0.409401,8.9,0.3393,0.189626,7.488889,0.028,0.75
2,1973,11.9,5.2,5.2,0.409401,8.9,0.336,0.17355,7.811111,0.029,0.75
2,1974,20.6,11.9,5.2,0.409401,8.9,0.3285,0.181648,9.422222,0.03,0.75
2,1975,7.8,20.6,11.9,0.409401,8.9,0.3359,0.255408,11.84444,0.031,0.75
2,1976,6.4,7.8,20.6,0.409401,8.9,0.3361,0.227524,13.57222,0.033,0.75
2,1977,5.7,6.4,7.8,0.409401,8.9,0.3275,0.235086,10.70556,0.052,0.75
2,1978,4.6,5.7,6.4,0.409401,8.9,0.3206,0.219694,9.716667,0.054,0.75
2,1979,2.6,4.6,5.7,0.409401,8.9,0.3156,0.182257,8.733333,0.055,0.75
2,1980,2.8,2.6,4.6,0.409401,8.9,0.3083,0.211138,9.466667,0.057,0.75
2,1981,2.7,2.8,2.6,0.409401,8.9,0.3028,0.25555,10.62222,0.057,0.75
2,1982,1.8,2.7,2.8,0.409401,8.9,0.2996,0.251714,10.49444,0.059,0.75
2,1983,0.4,1.8,2.7,0.409401,8.9,0.2958,0.247926,9.755556,0.062,0.75
2,1984,1.2,0.4,1.8,0.409401,8.9,0.2869,0.230421,6.633333,0.064,0.75
2,1985,1.5,1.2,0.4,0.409401,8.9,0.2816,0.241713,5.911111,0.066,0.75
2,1986,1.8,1.5,1.2,0.409401,8.9,0.2779,0.227936,5.55,0.068,0.75
2,1987,-0.2,1.8,1.5,0.409401,8.9,0.2715,0.169876,5.305556,0.071,0.75
2,1988,0.4,-0.2,1.8,0.409401,8.9,0.2667,0.158011,4.594444,0.074,0.75
2,1989,1.5,0.4,-0.2,0.409401,8.9,0.2605,0.155979,4.311111,0.075,0.75
2,1990,1.5,1.5,0.4,0.409401,8.9,0.2536,0.168613,4.411111,0.078,0.75
3,1972,5.4,7.8,7.6,0.931438,4.32606,0.3295,0.341598,7.344444,0.047,0.75
3,1973,6.5,5.4,7.8,0.931438,4.32606,0.3305,0.337456,7.8,0.048,0.75
3,1974,6.8,6.5,5.4,0.931438,4.51625,0.3307,0.353014,9.722222,0.049,0.75
3,1975,6.1,6.8,6.5,0.931438,4.476627,0.3391,0.417024,12.61111,0.051,0.75
3,1976,3.5,6.1,6.8,0.931438,4.448325,0.3393,0.395383,13.66667,0.053,0.75
3,1977,3.6,3.5,6.1,0.931438,4.448325,0.345,0.427318,10.86667,0.054,0.75
3,1978,4.1,3.6,3.5,0.931438,4.448325,0.3467,0.425659,9.833333,0.053,0.75
3,1979,4,4.1,3.6,0.931438,4.448325,0.3499,0.411826,8.761111,0.055,0.75
3,1980,4.3,4,4.1,0.931438,4.448325,0.3472,0.436841,9.388889,0.058,0.75
